author,title,school,year,pages,ee,publisher,booktitle,address,journal,volume,number,month,url,cdrom,editor,cite,note,crossref,isbn,series,chapter,publnr
"Hisao Ishibuchi, Yusuke Nojima",Multiobjective Genetic Fuzzy Systems.,,2015,1479-1498,https://doi.org/10.1007/978-3-662-43505-2_77,,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#IshibuchiN15,,,,,reference/sp/2015ci,,,,
Liliana Borcea,Imaging in Random Media.,,2015,1279-1340,https://doi.org/10.1007/978-1-4939-0790-8_41,,Handbook of Mathematical Methods in Imaging,,,,,,db/reference/sp/mmi2015.html#Borcea15,,,,,reference/sp/2015mmi,,,,
"Neil Rubens, Mehdi Elahi, Masashi Sugiyama, Dain Kaplan",Active Learning in Recommender Systems.,,2015,809-846,"https://doi.org/10.1007/978-1-4899-7637-6_24, https://www.wikidata.org/entity/Q61440719",,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#RubensESK15,,,,,reference/sp/2015rsh,,,,
Patricia Melin,Pattern Recognition with Modular Neural Networks and Type-2 Fuzzy Logic.,,2015,1509-1515,"https://doi.org/10.1007/978-3-662-43505-2_79, https://www.wikidata.org/entity/Q58488363",,Handbook of Computational Intelligence,,,,,,db/reference/sp/ci2015.html#Melin15,,,,,reference/sp/2015ci,,,,
"Kashif Bilal, Samee U. Khan, Marc Manzano, Eusebi Calle, Sajjad Ahmad Madani, Khizar Hayat, Dan Chen 0001, Lizhe Wang 0001, Rajiv Ranjan",Modeling and Simulation of Data Center Networks.,,2015,945-958,https://doi.org/10.1007/978-1-4939-2092-1_31,,Handbook on Data Centers,,,,,,db/reference/sp/dc2015.html#BilalKMCMHCWR15,,,,,reference/sp/2015dc,,,,
"Jaume Barceló, Hanna Grzybowska, Jesús Arturo Orozco",City Logistics.,,2018,887-930,https://doi.org/10.1007/978-3-319-07124-4_55,,Handbook of Heuristics,,,,,,db/reference/sp/heuristics2018.html#BarceloGO18,,,,,reference/sp/2018heuristics,,,,
"Irena Koprinska, Kalina Yacef",People-to-People Reciprocal Recommenders.,,2015,545-567,https://doi.org/10.1007/978-1-4899-7637-6_16,,Recommender Systems Handbook,,,,,,db/reference/sp/rsh2015.html#KoprinskaY15,,,,,reference/sp/2015rsh,,,,
"Haluk Damgacioglu, Mehrad Bastani, Nurcin Celik",A Dynamic Data-Driven Optimization Framework for Demand Side Management in Microgrids.,,2018,489-504,https://doi.org/10.1007/978-3-319-95504-9_21,,Handbook of Dynamic Data Driven Applications Systems,,,,,,db/reference/sp/dddas2018.html#DamgaciogluBC18,,,,,reference/sp/2018dddas,,,,
Manuel Laguna,Tabu Search.,,2018,741-758,https://doi.org/10.1007/978-3-319-07124-4_24,,Handbook of Heuristics,,,,,,db/reference/sp/heuristics2018.html#Laguna18,,,,,reference/sp/2018heuristics,,,,
"Su-Jin Lee, Han-Lim Choi",Approximate Local Utility Design for Potential Game Approach to Cooperative Sensor Network Planning.,,2018,423-444,https://doi.org/10.1007/978-3-319-95504-9_18,,Handbook of Dynamic Data Driven Applications Systems,,,,,,db/reference/sp/dddas2018.html#LeeC18,,,,,reference/sp/2018dddas,,,,
